Area,Year,precip
Albania,1990,1485
Albania,1991,1485
Albania,1992,1485
Albania,1993,1485
Albania,1994,1485
Albania,1995,1485
Albania,1996,1485
Albania,1997,1485
Albania,1998,1485
Albania,1999,1485
Albania,2000,1485
Albania,2001,1485
Albania,2002,1485
Albania,2003,1485
Albania,2004,1485
Albania,2005,1485
Albania,2006,1485
Albania,2007,1485
Albania,2008,1485
Albania,2009,1485
Albania,2010,1485
Albania,2011,1485
Albania,2012,1485
Albania,2013,1485
Albania,2014,1485
Albania,2015,1485
Albania,2016,1485
Albania,2017,1485
Albania,2018,1485
Albania,2019,1485
Albania,2020,1485
Albania,2021,1485
Albania,2022,1485
Austria,1990,1110
Austria,1991,1110
Austria,1992,1110
Austria,1993,1110
Austria,1994,1110
Austria,1995,1110
Austria,1996,1110
Austria,1997,1110
Austria,1998,1110
Austria,1999,1110
Austria,2000,1110
Austria,2001,1110
Austria,2002,1110
Austria,2003,1110
Austria,2004,1110
Austria,2005,1110
Austria,2006,1110
Austria,2007,1110
Austria,2008,1110
Austria,2009,1110
Austria,2010,1110
Austria,2011,1110
Austria,2012,1110
Austria,2013,1110
Austria,2014,1110
Austria,2015,1110
Austria,2016,1110
Austria,2017,1110
Austria,2018,1110
Austria,2019,1110
Austria,2020,1110
Austria,2021,1110
Austria,2022,1110
Belarus,1992,618
Belarus,1993,618
Belarus,1994,618
Belarus,1995,618
Belarus,1996,618
Belarus,1997,618
Belarus,1998,618
Belarus,1999,618
Belarus,2000,618
Belarus,2001,618
Belarus,2002,618
Belarus,2003,618
Belarus,2004,618
Belarus,2005,618
Belarus,2006,618
Belarus,2007,618
Belarus,2008,618
Belarus,2009,618
Belarus,2010,618
Belarus,2011,618
Belarus,2012,618
Belarus,2013,618
Belarus,2014,618
Belarus,2015,618
Belarus,2016,618
Belarus,2017,618
Belarus,2018,618
Belarus,2019,618
Belarus,2020,618
Belarus,2021,618
Belarus,2022,618
Belgium,1990,847
Belgium,1991,847
Belgium,1992,847
Belgium,1993,847
Belgium,1994,847
Belgium,1995,847
Belgium,1996,847
Belgium,1997,847
Belgium,1998,847
Belgium,1999,847
Belgium,2000,847
Belgium,2001,847
Belgium,2002,847
Belgium,2003,847
Belgium,2004,847
Belgium,2005,847
Belgium,2006,847
Belgium,2007,847
Belgium,2008,847
Belgium,2009,847
Belgium,2010,847
Belgium,2011,847
Belgium,2012,847
Belgium,2013,847
Belgium,2014,847
Belgium,2015,847
Belgium,2016,847
Belgium,2017,847
Belgium,2018,847
Belgium,2019,847
Belgium,2020,847
Belgium,2021,847
Belgium,2022,847
Bosnia and Herzegovina,1992,1028
Bosnia and Herzegovina,1993,1028
Bosnia and Herzegovina,1994,1028
Bosnia and Herzegovina,1995,1028
Bosnia and Herzegovina,1996,1028
Bosnia and Herzegovina,1997,1028
Bosnia and Herzegovina,1998,1028
Bosnia and Herzegovina,1999,1028
Bosnia and Herzegovina,2000,1028
Bosnia and Herzegovina,2001,1028
Bosnia and Herzegovina,2002,1028
Bosnia and Herzegovina,2003,1028
Bosnia and Herzegovina,2004,1028
Bosnia and Herzegovina,2005,1028
Bosnia and Herzegovina,2006,1028
Bosnia and Herzegovina,2007,1028
Bosnia and Herzegovina,2008,1028
Bosnia and Herzegovina,2009,1028
Bosnia and Herzegovina,2010,1028
Bosnia and Herzegovina,2011,1028
Bosnia and Herzegovina,2012,1028
Bosnia and Herzegovina,2013,1028
Bosnia and Herzegovina,2014,1028
Bosnia and Herzegovina,2015,1028
Bosnia and Herzegovina,2016,1028
Bosnia and Herzegovina,2017,1028
Bosnia and Herzegovina,2018,1028
Bosnia and Herzegovina,2019,1028
Bosnia and Herzegovina,2020,1028
Bosnia and Herzegovina,2021,1028
Bosnia and Herzegovina,2022,1028
Bulgaria,1990,608
Bulgaria,1991,608
Bulgaria,1992,608
Bulgaria,1993,608
Bulgaria,1994,608
Bulgaria,1995,608
Bulgaria,1996,608
Bulgaria,1997,608
Bulgaria,1998,608
Bulgaria,1999,608
Bulgaria,2000,608
Bulgaria,2001,608
Bulgaria,2002,608
Bulgaria,2003,608
Bulgaria,2004,608
Bulgaria,2005,608
Bulgaria,2006,608
Bulgaria,2007,608
Bulgaria,2008,608
Bulgaria,2009,608
Bulgaria,2010,608
Bulgaria,2011,608
Bulgaria,2012,608
Bulgaria,2013,608
Bulgaria,2014,608
Bulgaria,2015,608
Bulgaria,2016,608
Bulgaria,2017,608
Bulgaria,2018,608
Bulgaria,2019,608
Bulgaria,2020,608
Bulgaria,2021,608
Bulgaria,2022,608
Czechia,1993,677
Czechia,1994,677
Czechia,1995,677
Czechia,1996,677
Czechia,1997,677
Czechia,1998,677
Czechia,1999,677
Czechia,2000,677
Czechia,2001,677
Czechia,2002,677
Czechia,2003,677
Czechia,2004,677
Czechia,2005,677
Czechia,2006,677
Czechia,2007,677
Czechia,2008,677
Czechia,2009,677
Czechia,2010,677
Czechia,2011,677
Czechia,2012,677
Czechia,2013,677
Czechia,2014,677
Czechia,2015,677
Czechia,2016,677
Czechia,2017,677
Czechia,2018,677
Czechia,2019,677
Czechia,2020,677
Czechia,2021,677
Czechia,2022,677
Denmark,1990,703
Denmark,1991,703
Denmark,1992,703
Denmark,1993,703
Denmark,1994,703
Denmark,1995,703
Denmark,1996,703
Denmark,1997,703
Denmark,1998,703
Denmark,1999,703
Denmark,2000,703
Denmark,2001,703
Denmark,2002,703
Denmark,2003,703
Denmark,2004,703
Denmark,2005,703
Denmark,2006,703
Denmark,2007,703
Denmark,2008,703
Denmark,2009,703
Denmark,2010,703
Denmark,2011,703
Denmark,2012,703
Denmark,2013,703
Denmark,2014,703
Denmark,2015,703
Denmark,2016,703
Denmark,2017,703
Denmark,2018,703
Denmark,2019,703
Denmark,2020,703
Denmark,2021,703
Denmark,2022,703
Estonia,1992,626
Estonia,1993,626
Estonia,1994,626
Estonia,1995,626
Estonia,1996,626
Estonia,1997,626
Estonia,1998,626
Estonia,1999,626
Estonia,2000,626
Estonia,2001,626
Estonia,2002,626
Estonia,2003,626
Estonia,2004,626
Estonia,2005,626
Estonia,2006,626
Estonia,2007,626
Estonia,2008,626
Estonia,2009,626
Estonia,2010,626
Estonia,2011,626
Estonia,2012,626
Estonia,2013,626
Estonia,2014,626
Estonia,2015,626
Estonia,2016,626
Estonia,2017,626
Estonia,2018,626
Estonia,2019,626
Estonia,2020,626
Estonia,2021,626
Estonia,2022,626
Finland,1990,536
Finland,1991,536
Finland,1992,536
Finland,1993,536
Finland,1994,536
Finland,1995,536
Finland,1996,536
Finland,1997,536
Finland,1998,536
Finland,1999,536
Finland,2000,536
Finland,2001,536
Finland,2002,536
Finland,2003,536
Finland,2004,536
Finland,2005,536
Finland,2006,536
Finland,2007,536
Finland,2008,536
Finland,2009,536
Finland,2010,536
Finland,2011,536
Finland,2012,536
Finland,2013,536
Finland,2014,536
Finland,2015,536
Finland,2016,536
Finland,2017,536
Finland,2018,536
Finland,2019,536
Finland,2020,536
Finland,2021,536
Finland,2022,536
France,1990,867
France,1991,867
France,1992,867
France,1993,867
France,1994,867
France,1995,867
France,1996,867
France,1997,867
France,1998,867
France,1999,867
France,2000,867
France,2001,867
France,2002,867
France,2003,867
France,2004,867
France,2005,867
France,2006,867
France,2007,867
France,2008,867
France,2009,867
France,2010,867
France,2011,867
France,2012,867
France,2013,867
France,2014,867
France,2015,867
France,2016,867
France,2017,867
France,2018,867
France,2019,867
France,2020,867
France,2021,867
France,2022,867
Germany,1990,700
Germany,1991,700
Germany,1992,700
Germany,1993,700
Germany,1994,700
Germany,1995,700
Germany,1996,700
Germany,1997,700
Germany,1998,700
Germany,1999,700
Germany,2000,700
Germany,2001,700
Germany,2002,700
Germany,2003,700
Germany,2004,700
Germany,2005,700
Germany,2006,700
Germany,2007,700
Germany,2008,700
Germany,2009,700
Germany,2010,700
Germany,2011,700
Germany,2012,700
Germany,2013,700
Germany,2014,700
Germany,2015,700
Germany,2016,700
Germany,2017,700
Germany,2018,700
Germany,2019,700
Germany,2020,700
Germany,2021,700
Germany,2022,700
Greece,1990,652
Greece,1991,652
Greece,1992,652
Greece,1993,652
Greece,1994,652
Greece,1995,652
Greece,1996,652
Greece,1997,652
Greece,1998,652
Greece,1999,652
Greece,2000,652
Greece,2001,652
Greece,2002,652
Greece,2003,652
Greece,2004,652
Greece,2005,652
Greece,2006,652
Greece,2007,652
Greece,2008,652
Greece,2009,652
Greece,2010,652
Greece,2011,652
Greece,2012,652
Greece,2013,652
Greece,2014,652
Greece,2015,652
Greece,2016,652
Greece,2017,652
Greece,2018,652
Greece,2019,652
Greece,2020,652
Greece,2021,652
Greece,2022,652
Hungary,1990,589
Hungary,1991,589
Hungary,1992,589
Hungary,1993,589
Hungary,1994,589
Hungary,1995,589
Hungary,1996,589
Hungary,1997,589
Hungary,1998,589
Hungary,1999,589
Hungary,2000,589
Hungary,2001,589
Hungary,2002,589
Hungary,2003,589
Hungary,2004,589
Hungary,2005,589
Hungary,2006,589
Hungary,2007,589
Hungary,2008,589
Hungary,2009,589
Hungary,2010,589
Hungary,2011,589
Hungary,2012,589
Hungary,2013,589
Hungary,2014,589
Hungary,2015,589
Hungary,2016,589
Hungary,2017,589
Hungary,2018,589
Hungary,2019,589
Hungary,2020,589
Hungary,2021,589
Hungary,2022,589
Iceland,1990,1940
Iceland,1991,1940
Iceland,1992,1940
Iceland,1993,1940
Iceland,1994,1940
Iceland,1995,1940
Iceland,1996,1940
Iceland,1997,1940
Iceland,1998,1940
Iceland,1999,1940
Iceland,2000,1940
Iceland,2001,1940
Iceland,2002,1940
Iceland,2003,1940
Iceland,2004,1940
Iceland,2005,1940
Iceland,2006,1940
Iceland,2007,1940
Iceland,2008,1940
Iceland,2009,1940
Iceland,2010,1940
Iceland,2011,1940
Iceland,2012,1940
Iceland,2013,1940
Iceland,2014,1940
Iceland,2015,1940
Iceland,2016,1940
Iceland,2017,1940
Iceland,2018,1940
Iceland,2019,1940
Iceland,2020,1940
Iceland,2021,1940
Iceland,2022,1940
Ireland,1990,1118
Ireland,1991,1118
Ireland,1992,1118
Ireland,1993,1118
Ireland,1994,1118
Ireland,1995,1118
Ireland,1996,1118
Ireland,1997,1118
Ireland,1998,1118
Ireland,1999,1118
Ireland,2000,1118
Ireland,2001,1118
Ireland,2002,1118
Ireland,2003,1118
Ireland,2004,1118
Ireland,2005,1118
Ireland,2006,1118
Ireland,2007,1118
Ireland,2008,1118
Ireland,2009,1118
Ireland,2010,1118
Ireland,2011,1118
Ireland,2012,1118
Ireland,2013,1118
Ireland,2014,1118
Ireland,2015,1118
Ireland,2016,1118
Ireland,2017,1118
Ireland,2018,1118
Ireland,2019,1118
Ireland,2020,1118
Ireland,2021,1118
Ireland,2022,1118
Italy,1990,832
Italy,1991,832
Italy,1992,832
Italy,1993,832
Italy,1994,832
Italy,1995,832
Italy,1996,832
Italy,1997,832
Italy,1998,832
Italy,1999,832
Italy,2000,832
Italy,2001,832
Italy,2002,832
Italy,2003,832
Italy,2004,832
Italy,2005,832
Italy,2006,832
Italy,2007,832
Italy,2008,832
Italy,2009,832
Italy,2010,832
Italy,2011,832
Italy,2012,832
Italy,2013,832
Italy,2014,832
Italy,2015,832
Italy,2016,832
Italy,2017,832
Italy,2018,832
Italy,2019,832
Italy,2020,832
Italy,2021,832
Italy,2022,832
Latvia,1992,667
Latvia,1993,667
Latvia,1994,667
Latvia,1995,667
Latvia,1996,667
Latvia,1997,667
Latvia,1998,667
Latvia,1999,667
Latvia,2000,667
Latvia,2001,667
Latvia,2002,667
Latvia,2003,667
Latvia,2004,667
Latvia,2005,667
Latvia,2006,667
Latvia,2007,667
Latvia,2008,667
Latvia,2009,667
Latvia,2010,667
Latvia,2011,667
Latvia,2012,667
Latvia,2013,667
Latvia,2014,667
Latvia,2015,667
Latvia,2016,667
Latvia,2017,667
Latvia,2018,667
Latvia,2019,667
Latvia,2020,667
Latvia,2021,667
Latvia,2022,667
Lithuania,1992,656
Lithuania,1993,656
Lithuania,1994,656
Lithuania,1995,656
Lithuania,1996,656
Lithuania,1997,656
Lithuania,1998,656
Lithuania,1999,656
Lithuania,2000,656
Lithuania,2001,656
Lithuania,2002,656
Lithuania,2003,656
Lithuania,2004,656
Lithuania,2005,656
Lithuania,2006,656
Lithuania,2007,656
Lithuania,2008,656
Lithuania,2009,656
Lithuania,2010,656
Lithuania,2011,656
Lithuania,2012,656
Lithuania,2013,656
Lithuania,2014,656
Lithuania,2015,656
Lithuania,2016,656
Lithuania,2017,656
Lithuania,2018,656
Lithuania,2019,656
Lithuania,2020,656
Lithuania,2021,656
Lithuania,2022,656
Luxembourg,1990,934
Luxembourg,1991,934
Luxembourg,1992,934
Luxembourg,1993,934
Luxembourg,1994,934
Luxembourg,1995,934
Luxembourg,1996,934
Luxembourg,1997,934
Luxembourg,1998,934
Luxembourg,1999,934
Luxembourg,2000,934
Luxembourg,2001,934
Luxembourg,2002,934
Luxembourg,2003,934
Luxembourg,2004,934
Luxembourg,2005,934
Luxembourg,2006,934
Luxembourg,2007,934
Luxembourg,2008,934
Luxembourg,2009,934
Luxembourg,2010,934
Luxembourg,2011,934
Luxembourg,2012,934
Luxembourg,2013,934
Luxembourg,2014,934
Luxembourg,2015,934
Luxembourg,2016,934
Luxembourg,2017,934
Luxembourg,2018,934
Luxembourg,2019,934
Luxembourg,2020,934
Luxembourg,2021,934
Luxembourg,2022,934
North Macedonia,1992,619
North Macedonia,1993,619
North Macedonia,1994,619
North Macedonia,1995,619
North Macedonia,1996,619
North Macedonia,1997,619
North Macedonia,1998,619
North Macedonia,1999,619
North Macedonia,2000,619
North Macedonia,2001,619
North Macedonia,2002,619
North Macedonia,2003,619
North Macedonia,2004,619
North Macedonia,2005,619
North Macedonia,2006,619
North Macedonia,2007,619
North Macedonia,2008,619
North Macedonia,2009,619
North Macedonia,2010,619
North Macedonia,2011,619
North Macedonia,2012,619
North Macedonia,2013,619
North Macedonia,2014,619
North Macedonia,2015,619
North Macedonia,2016,619
North Macedonia,2017,619
North Macedonia,2018,619
North Macedonia,2019,619
North Macedonia,2020,619
North Macedonia,2021,619
North Macedonia,2022,619
Norway,1990,1414
Norway,1991,1414
Norway,1992,1414
Norway,1993,1414
Norway,1994,1414
Norway,1995,1414
Norway,1996,1414
Norway,1997,1414
Norway,1998,1414
Norway,1999,1414
Norway,2000,1414
Norway,2001,1414
Norway,2002,1414
Norway,2003,1414
Norway,2004,1414
Norway,2005,1414
Norway,2006,1414
Norway,2007,1414
Norway,2008,1414
Norway,2009,1414
Norway,2010,1414
Norway,2011,1414
Norway,2012,1414
Norway,2013,1414
Norway,2014,1414
Norway,2015,1414
Norway,2016,1414
Norway,2017,1414
Norway,2018,1414
Norway,2019,1414
Norway,2020,1414
Norway,2021,1414
Norway,2022,1414
Poland,1990,600
Poland,1991,600
Poland,1992,600
Poland,1993,600
Poland,1994,600
Poland,1995,600
Poland,1996,600
Poland,1997,600
Poland,1998,600
Poland,1999,600
Poland,2000,600
Poland,2001,600
Poland,2002,600
Poland,2003,600
Poland,2004,600
Poland,2005,600
Poland,2006,600
Poland,2007,600
Poland,2008,600
Poland,2009,600
Poland,2010,600
Poland,2011,600
Poland,2012,600
Poland,2013,600
Poland,2014,600
Poland,2015,600
Poland,2016,600
Poland,2017,600
Poland,2018,600
Poland,2019,600
Poland,2020,600
Poland,2021,600
Poland,2022,600
Portugal,1990,854
Portugal,1991,854
Portugal,1992,854
Portugal,1993,854
Portugal,1994,854
Portugal,1995,854
Portugal,1996,854
Portugal,1997,854
Portugal,1998,854
Portugal,1999,854
Portugal,2000,854
Portugal,2001,854
Portugal,2002,854
Portugal,2003,854
Portugal,2004,854
Portugal,2005,854
Portugal,2006,854
Portugal,2007,854
Portugal,2008,854
Portugal,2009,854
Portugal,2010,854
Portugal,2011,854
Portugal,2012,854
Portugal,2013,854
Portugal,2014,854
Portugal,2015,854
Portugal,2016,854
Portugal,2017,854
Portugal,2018,854
Portugal,2019,854
Portugal,2020,854
Portugal,2021,854
Portugal,2022,854
Republic of Moldova,1992,450
Republic of Moldova,1993,450
Republic of Moldova,1994,450
Republic of Moldova,1995,450
Republic of Moldova,1996,450
Republic of Moldova,1997,450
Republic of Moldova,1998,450
Republic of Moldova,1999,450
Republic of Moldova,2000,450
Republic of Moldova,2001,450
Republic of Moldova,2002,450
Republic of Moldova,2003,450
Republic of Moldova,2004,450
Republic of Moldova,2005,450
Republic of Moldova,2006,450
Republic of Moldova,2007,450
Republic of Moldova,2008,450
Republic of Moldova,2009,450
Republic of Moldova,2010,450
Republic of Moldova,2011,450
Republic of Moldova,2012,450
Republic of Moldova,2013,450
Republic of Moldova,2014,450
Republic of Moldova,2015,450
Republic of Moldova,2016,450
Republic of Moldova,2017,450
Republic of Moldova,2018,450
Republic of Moldova,2019,450
Republic of Moldova,2020,450
Republic of Moldova,2021,450
Republic of Moldova,2022,450
Romania,1990,637
Romania,1991,637
Romania,1992,637
Romania,1993,637
Romania,1994,637
Romania,1995,637
Romania,1996,637
Romania,1997,637
Romania,1998,637
Romania,1999,637
Romania,2000,637
Romania,2001,637
Romania,2002,637
Romania,2003,637
Romania,2004,637
Romania,2005,637
Romania,2006,637
Romania,2007,637
Romania,2008,637
Romania,2009,637
Romania,2010,637
Romania,2011,637
Romania,2012,637
Romania,2013,637
Romania,2014,637
Romania,2015,637
Romania,2016,637
Romania,2017,637
Romania,2018,637
Romania,2019,637
Romania,2020,637
Romania,2021,637
Romania,2022,637
Russian Federation,1992,460
Russian Federation,1993,460
Russian Federation,1994,460
Russian Federation,1995,460
Russian Federation,1996,460
Russian Federation,1997,460
Russian Federation,1998,460
Russian Federation,1999,460
Russian Federation,2000,460
Russian Federation,2001,460
Russian Federation,2002,460
Russian Federation,2003,460
Russian Federation,2004,460
Russian Federation,2005,460
Russian Federation,2006,460
Russian Federation,2007,460
Russian Federation,2008,460
Russian Federation,2009,460
Russian Federation,2010,460
Russian Federation,2011,460
Russian Federation,2012,460
Russian Federation,2013,460
Russian Federation,2014,460
Russian Federation,2015,460
Russian Federation,2016,460
Russian Federation,2017,460
Russian Federation,2018,460
Russian Federation,2019,460
Russian Federation,2020,460
Russian Federation,2021,460
Russian Federation,2022,460
Slovakia,1993,824
Slovakia,1994,824
Slovakia,1995,824
Slovakia,1996,824
Slovakia,1997,824
Slovakia,1998,824
Slovakia,1999,824
Slovakia,2000,824
Slovakia,2001,824
Slovakia,2002,824
Slovakia,2003,824
Slovakia,2004,824
Slovakia,2005,824
Slovakia,2006,824
Slovakia,2007,824
Slovakia,2008,824
Slovakia,2009,824
Slovakia,2010,824
Slovakia,2011,824
Slovakia,2012,824
Slovakia,2013,824
Slovakia,2014,824
Slovakia,2015,824
Slovakia,2016,824
Slovakia,2017,824
Slovakia,2018,824
Slovakia,2019,824
Slovakia,2020,824
Slovakia,2021,824
Slovakia,2022,824
Slovenia,1992,1162
Slovenia,1993,1162
Slovenia,1994,1162
Slovenia,1995,1162
Slovenia,1996,1162
Slovenia,1997,1162
Slovenia,1998,1162
Slovenia,1999,1162
Slovenia,2000,1162
Slovenia,2001,1162
Slovenia,2002,1162
Slovenia,2003,1162
Slovenia,2004,1162
Slovenia,2005,1162
Slovenia,2006,1162
Slovenia,2007,1162
Slovenia,2008,1162
Slovenia,2009,1162
Slovenia,2010,1162
Slovenia,2011,1162
Slovenia,2012,1162
Slovenia,2013,1162
Slovenia,2014,1162
Slovenia,2015,1162
Slovenia,2016,1162
Slovenia,2017,1162
Slovenia,2018,1162
Slovenia,2019,1162
Slovenia,2020,1162
Slovenia,2021,1162
Slovenia,2022,1162
Spain,1990,636
Spain,1991,636
Spain,1992,636
Spain,1993,636
Spain,1994,636
Spain,1995,636
Spain,1996,636
Spain,1997,636
Spain,1998,636
Spain,1999,636
Spain,2000,636
Spain,2001,636
Spain,2002,636
Spain,2003,636
Spain,2004,636
Spain,2005,636
Spain,2006,636
Spain,2007,636
Spain,2008,636
Spain,2009,636
Spain,2010,636
Spain,2011,636
Spain,2012,636
Spain,2013,636
Spain,2014,636
Spain,2015,636
Spain,2016,636
Spain,2017,636
Spain,2018,636
Spain,2019,636
Spain,2020,636
Spain,2021,636
Spain,2022,636
Sweden,1990,624
Sweden,1991,624
Sweden,1992,624
Sweden,1993,624
Sweden,1994,624
Sweden,1995,624
Sweden,1996,624
Sweden,1997,624
Sweden,1998,624
Sweden,1999,624
Sweden,2000,624
Sweden,2001,624
Sweden,2002,624
Sweden,2003,624
Sweden,2004,624
Sweden,2005,624
Sweden,2006,624
Sweden,2007,624
Sweden,2008,624
Sweden,2009,624
Sweden,2010,624
Sweden,2011,624
Sweden,2012,624
Sweden,2013,624
Sweden,2014,624
Sweden,2015,624
Sweden,2016,624
Sweden,2017,624
Sweden,2018,624
Sweden,2019,624
Sweden,2020,624
Sweden,2021,624
Sweden,2022,624
Switzerland,1990,1537
Switzerland,1991,1537
Switzerland,1992,1537
Switzerland,1993,1537
Switzerland,1994,1537
Switzerland,1995,1537
Switzerland,1996,1537
Switzerland,1997,1537
Switzerland,1998,1537
Switzerland,1999,1537
Switzerland,2000,1537
Switzerland,2001,1537
Switzerland,2002,1537
Switzerland,2003,1537
Switzerland,2004,1537
Switzerland,2005,1537
Switzerland,2006,1537
Switzerland,2007,1537
Switzerland,2008,1537
Switzerland,2009,1537
Switzerland,2010,1537
Switzerland,2011,1537
Switzerland,2012,1537
Switzerland,2013,1537
Switzerland,2014,1537
Switzerland,2015,1537
Switzerland,2016,1537
Switzerland,2017,1537
Switzerland,2018,1537
Switzerland,2019,1537
Switzerland,2020,1537
Switzerland,2021,1537
Switzerland,2022,1537
Ukraine,1992,565
Ukraine,1993,565
Ukraine,1994,565
Ukraine,1995,565
Ukraine,1996,565
Ukraine,1997,565
Ukraine,1998,565
Ukraine,1999,565
Ukraine,2000,565
Ukraine,2001,565
Ukraine,2002,565
Ukraine,2003,565
Ukraine,2004,565
Ukraine,2005,565
Ukraine,2006,565
Ukraine,2007,565
Ukraine,2008,565
Ukraine,2009,565
Ukraine,2010,565
Ukraine,2011,565
Ukraine,2012,565
Ukraine,2013,565
Ukraine,2014,565
Ukraine,2015,565
Ukraine,2016,565
Ukraine,2017,565
Ukraine,2018,565
Ukraine,2019,565
Ukraine,2020,565
Ukraine,2021,565
Ukraine,2022,565
